id,socre,doc,result,Precision,,AP
1,0.699940324,Privacy. Just look below to all of the data that Facebook uses that is linked to you for their profit.big thumbs down.,1,1,1,1
2,0.688370824,"Big Brother is always watching you. Everything you do on this platform, you are being watched. Your data is gathered to use against you. Facebook, Meta, whatever you want to call it, passes major privacy laws. Do what you will with that information.",1,1,1,1
3,0.677111089,"Privacy. Facebook are made it easy to steal people privacy. It is creepy because they can spy on your websites. Moreover, they hand the info to a third and fourth parties ...etc. It is all about business and we are for sale by the company. Shame on Facebook.",1,1,1,1
4,0.662814081,Facebook is not a good company. Gathering info on its client base and selling this information to the highest bidder is an evil practice. Facebook is a company that takes advantage of its users and attempts to manipulate public opinion and police thought. Screw these guys,1,1,1,1
5,0.656304419,Facebooks Inability to Privatize Profile Is Disgusting. The fact that they allow photos of my kids out float out there without my permission is absolutely horrendous. The photos are not from any family members. They are school pictures that allow name labeling without our permission.Facebook will sell your data to the next highest bidder. Run away from this app.,1,1,1,1
6,0.654989898,Not forthcoming on the apps privacy risks. Facebook is supporting human trafficking. We have been trying to locate my sister that has been trafficked through Facebook overseas. Facebook has been non compliant with authorities in our investigation. Facebook is a criminal enterprise.,1,1,1,1
7,0.65044117,Biased. Facebook sells your private information to third party companies. It tracks you and send those information to third party companies as well. It is selective and may remove your post with dictated nonsense reasons.,1,1,1,1
8,0.644980192,Facebook selling our information. Its really bad.,1,1,1,1
9,0.644711196,Beware of Being censored. Anything that you might share regardless off being true or not Facebook will censor if they find it not to be true. Keep doing it &amp; you will be thrown out of Facebook.,0,0.888888889,0,0.888888889
10,0.644491732,FB DOES NOT WANT TO PROTECT YOUR PRIVACY. FB will do anything they can to get all information on you and sell it. They make it impossibly difficult and confusing to change your privacy settings. Its laid out that way so most people (especially the older crowd) cant figure out. Much better social media apps out there. Use something else FB is dead,1,0.9,0.9,0.89
11,0.640578091,Facebook is Privacy nightmare. FB will sell your soul (or data) to the devil for a few cents if they could If you read their new terms of service you would be terrified. You have no privacy for you or anything on your phone,1,0.909090909,0.909090909,0.891735537
12,0.636716783,"Facebook is a Cesspool. Cesspool of lies, politics, fake news, threats, sex and pornography, illegal immigration business and people fighting over their own 2 cents, political views and personal feelings. This social media can be used for so many illegal activities. I once reported an account of my friend that was made a copy and have been requesting us to accept her friend request and been asking for money but she said its not actually her and its been using all her details from name to photos. So what we did was report it to Facebook and the Goddamn reply was this dis not go against Facebook policy That blew me off",1,0.916666667,0.916666667,0.893813131
13,0.633834004,"Facebook Uses You. There are well detailed complaints already posted about the failings of Facebook. We\'ve long been aware of the crimes and offenses of the Zuckerberg- lead company. Our hope is that their spying, stealing, and general indifference to you and us catches up with them, and that they come to realize their egregious offenses, which are perpetrated against us, freedom, and the privileges they enjoy but deprive of others, such as privacy. Bravo to those ex-Facebook employees who have spoken out against this corrupted company.",1,0.923076923,0.923076923,0.896064192
14,0.632230759,"Facebook cares ;). If youre looking for a single location where companies cane mine data about who you are and what you do, and of course how you think, this is the app for you. Not only can you train an ai to recognize yours and your acquaintances faces, as well as attribute that data to your views and reluctant needs, but you can create a web of data to pigeon hole yourself into the projected personas you created, and any possible way that corporations can market yo your deepest insecurities. What do you have to lose?",1,0.928571429,0.928571429,0.898386138
15,0.632185102,"Invasive, pandering to insecurities, mining info for advertising galore. Impossible to remove your information from.  Already an unethical amount of data on my child housed here via others comments and pictures (Facebook has created a ghost profile of her already).  Clearly between this and Instagram its designed to be as addictive as possible.  Shame our youth are allowed to waste their times on it. Creating a generation of insecurities.  Facebook was found to intentionally pander to negativity for clicks and add revenue.",1,0.933333333,0.933333333,0.900715951
16,0.631056786,Fraud. Facebook has always been fake and a big fraud nothing is private so be careful what you post on it,1,0.9375,0.9375,0.903014954
17,0.630450487,Facebook is a scam. They dont stand by their privacy and security at all. My profile got hacked that I had for 12 years and I reported it at least 30 times and every one of my friends on Facebook reported it. And Facebook did nothing about it. Never deleted the page or anything and I had a lot of personal information that the hacker used trying to spam others that where friends with me on Facebook.,1,0.941176471,0.941176471,0.905259749
18,0.62807405,"Facebook doesnt care about your security. I can report obviously fake profiles posting scam links & or malware, and every time they decided not to take the profile down.  The company consistently puts users and their information security at risk by their poor business practices and standards.",1,0.944444444,0.944444444,0.907436676
19,0.627080023,Privacy concerns. FB has become quite the big brother monitoring everything you do it seems-  targeting ads off things it apparently sees and hears you do outside of the app,1,0.947368421,0.947368421,0.909538347
20,0.626807868,"Facts. Facebook does not like you telling the truth, facts dont matter to them If its untrue its a fact for Facebook Its being run by idiots, who get butt hurt over the littlest thing My two-year-old grandchild is more adult than the people running Facebook",0,0.9,0,0.86406143
21,0.625405788,Facebook is liberal garbage. They sell your private information. Dont download this crap.,1,0.904761905,0.904761905,0.865999548
22,0.623222828,Restricting/Banning. Facebook is restricting and banning accounts for sharing information from their own platform.  Regular users should not be attacked for sharing content that you allow on your platform.  The originator of the material should be the individual(s) in question.,0,0.863636364,0,0.826635932
23,0.622814953,No privacy. The problem with Facebook and all social media that your information is everywhere. They sell your information. And they also give the government your information.. its not about gather with friends. Your data is sold The same thing goes for Google . Listen to your Conversations and report back to there makers. A database is made. They can use this to incriminate you . Even if you havent done anything wrong. Youre signing your life away and you dont even know it. They are contracts you cant even read them. It would take you weeks to read . Even if you delete your account it doesnt guarantee the use doesnt guarantee you complete 100% delete of your data its sold . Dont be fooled. believing youre safe. Your address and phone number out there. Why do you think so many people your phone number. Think about before you sign,1,0.869565217,0.869565217,0.828502423
24,0.621877611,Horrible privacy. I cant stress enough how bad mark Zuckerberg and the rest of Facebook is with privacy. Thanks for exposing our credit cards and other data,1,0.875,0.875,0.830439822
25,0.620953739,"Facebook the worst social media app. This app or better, this company more and more wants to spy on us, last to have access to our documents. Pat in the end to sell them, more and more they want to control their clients according to how they want to protect our information, everything is a lie.",1,0.88,0.88,0.832422229
26,0.618932664,Privacy Violations. Download your data and you will learn things about you that Facebook shouldnt know.,1,0.884615385,0.884615385,0.834429658
27,0.618123293,"Facebook manipulates you. Facebook preys on your emotions to get you to use their services more frequently, and for their own profit. Dont be used by anyone. Do not use their services any longer.",1,0.888888889,0.888888889,0.836446666
28,0.617746949,Do You Like Privacy?. If you like privacy you will delete you Active Facebook Account. Facebook sells personal data to malicious third party groups and other malicious groups.Dont use Facebook.,1,0.892857143,0.892857143,0.838461326
29,0.614478707,"Facebook. FB hides under a free social communication tool. They track us, they locate us, they algorithm our social and mental acuity - I own a marketing agency and while I need Facebook to market our clients products - I know what they are. There are so many privacy infringement violations and social travesties. They will continue to hold society hostage and thus my agency will continue to thrive sigh.",1,0.896551724,0.896551724,0.840464443
30,0.614077806,"The People make this app Entertaining. Other than that, they steal your data. From who you are, where you live, your address, your phone number, your location. Your contacts, your email address. In some cases your credit card information. They track what you do. What you view on online stores. You can personalize the ads yes. Facebook also controls the ads you see on YouTube, Google, Amazon, Etc. I always deactivate my profile until I log back in for it to reactivate. Thats your best bet. If you dont use Facebook. Just do that, dont just delete the app. Youll be surprised how easy it is to find out information about someone. If they have a Facebook account. Even if you havent used your profile in 10+ years. It is still there..just deactivate it.",1,0.9,0.9,0.842448962
31,0.613508165,Promotes Human Trafficking and other inappropriate behavior. This company believes they possess the virtual right to promote disgusting behavior. Facebook needs to either fix its privacy issues or get KICKED OFF THE APP STORE.,1,0.903225806,0.903225806,0.844409505
32,0.6120947,Facebook SPIES ON USERS. This app used to spy on you and everyone you know.,1,0.90625,0.90625,0.846342021
33,0.612062573,"Thank you Apple for guarding our privacy. Over the past year, Facebooks true intentions have been revealed. The world finally has gotten a glimpse at the man behind the curtain (a certain freckle skinned curly haired young CEO). Facebook does not care about choice, disclosures, or privacy. They want to control the entire experience. Many thanks to Apple for standing up to this very corrupt company and making it so users have a choice about such things as tracking. My only suggestion is to Apple: stop with the soft language when asking users if they wish to allow an app to track. To Facebook: your day of reckoning is upon you. The cat is out of the bag and the world is fully aware of your despicable behavior. Users are shutting down your tracking ability, advertisers are reconsidering their allotted Facebook advertising budgets, and Congress is debating how to real you in.",1,0.909090909,0.909090909,0.848243502
34,0.609048188,Evil company. If you dont know it yet you will know it Soon Facebook is an evil company that thrives off of using people to get what they want If you get all your news from Facebook you are a lost soul. Wake up because Facebook is pushing the evil narrative that will hold you and your family down for decades if you dont stand against them They do not care about you or anybody under them and they will run you over with no blink of an eye,0,0.882352941,0,0.823295164
35,0.608604252,"Data Mining. Facebook mines your datas and sells it to Cambridge Analytica to use for targeted advertisements and more. Anything you put on there is up for grabs. Be careful. Ive deactivated for a few now and suggest all of you to do the same. They now change their name to Meta to try to leave their sketchy past behind them, but dont be fooled, they are not changing their practice at all. It just goes down hill from here. Be Warned.",1,0.885714286,0.885714286,0.825078567
36,0.60775429,Its not about The People. Facebook is stripped you of your freedom of speech thought and individuality they sell your information its all about screwing the people we are nothing but a $ .. Im a 90 day Facebook prisoner veteran for being funny if youre sensitive and dont like one person is talking about or saying youre joking Ill get the f%$@# off my page simple . But no you need to create a profile but its not yours its Facebooks within a minute to you since are you and sell u . Negative the big bang and thats what I read this please,1,0.888888889,0.888888889,0.826851076
37,0.607680559,Steals your data to make money. You are their product and they make money out of you. It should not be Facebook it should be called .. you know.,1,0.891891892,0.891891892,0.828608936
38,0.606612563,"Get your family off the app. Their information is being stolen because they dont understand how selling information works. Try to get your family, especially elders and children to stop using the app, so much private information gets shared through Facebook because they believe they are posting privately when most of the time they very much arent.",1,0.894736842,0.894736842,0.830349144
39,0.606173038,High tech industries spay on you because of Facebook. Facebook is bad it let the highTech company to access personal information. Its supper stupidity,1,0.897435897,0.897435897,0.832069317
40,0.605302811,"The Truth. All that Facebook cares about is money and not the safety of us and the Facebook community. Mark Zuckerberg, bull$%+ all you want. You know the truth and what youve done, but you cant confess or address the problem. Why? Because YOU are the problem If Facebook must be shutdown, so be it. Shame on you Mark, youre the worst CEO of this social media platform You just got exposed from a whistleblower",0,0.875,0,0.811267585
41,0.604970932,"Steals everything. Facebook just steals all your info , sells it you get nothing but spam and adds in return .",1,0.87804878,0.87804878,0.812896394
42,0.604730725,They just care about selling your personal info. All they care about is how much of your personal information they can gather and sell. Facebook has went way downhill since it first started I only used it mainly for selling on marketplace and business networking but now i wont even be using it for that after they removed my latest marketplace item for no reason when i have been buying and selling on marketplace for years and have a 5 star rating Facebook is worthless,1,0.880952381,0.880952381,0.814516775
43,0.604616404,They steal too much information. Do your research in what Facebook its bias and unsafe and tracks everything you do kinda like iPhones and Google,1,0.88372093,0.88372093,0.816126174
44,0.604432166,"PRIVACY. What happened to yall protecting our PRIVACY?Why is there a need to know all our dang DATA?, including health and fitness, finances, contacts, browsing history, usage data, precise location, search history, purchases, diagnostics, identifiers, and other sensitive information. Do something about it, because we deserve to have a certain amount of privacy on these apps and FB is not providing it This is poor servicing",1,0.886363636,0.886363636,0.81772248
45,0.603478253,Facebook fact checker. You share post of other peoples and  Facebook block us with up to 3 months without be able to share nothing .,0,0.866666667,0,0.799550869
46,0.601988435,"Lots of information stolen. Ive reported multiple accounts that are made from people that stole pictures and other information from other people. When its reported, Facebook just talks to our friend  what the heck? Take down the profile thats a hack",1,0.869565217,0.869565217,0.80107292
47,0.601837277,"Your personal information is opened for sell. Beware, you are like a sell cow in catalog, and facebook selling all information and doesn't care you anymore",1,0.872340426,0.872340426,0.80258925
48,0.600901246,No privacy. I was checking my privacy sitting and I found out that Facebook has been recording all my web browsers history( Microsoft edge and Google Chrome) be extra careful from this awful platform META,1,0.875,0.875,0.804097807
49,0.60055846,"Facebook has 0 support and steals your information. I tried to make a Facebook account and it said my birth name wasnt real, so when I tried to click on the support option it tried to make me give them a picture of my ID with fine print saying theyll keep my ID in their database. There is no way around this because Facebook has 0 contact methods including phone calls, live chat or even email. Pathetic",1,0.87755102,0.87755102,0.805596852
50,0.600477636,"Privacy Problems. Ive been using Facebook for years but however, this past year Ive been having nonstop privacy problems where my Facebook account keeps getting hacked through Facebook Messenger, at first youll get sent a message with something like Look who died and a link with it that allows hackers to hack your account even if you dont open the link theres no way to protect your account it happens constantly Ive changed my password for my Facebook and email constantly for this security reason and my account with thousands of other people still get hacked the creators of Facebook has done an outstanding job with their security for Instagram but not for Facebook.""""",1,0.88,0.88,0.807084915
51,0.600087345,Facebook is a scam. If youve watched the Facebook whistle blower video youll know that Facebook steals and sells your information. Facebook also is responsible for mass genocide and dividing our nation. F Facebook lol get zucced,1,0.882352941,0.882352941,0.808560759
52,0.599472642,No privacy. My page has been hacked twice Thad it thats all done with Facebook its a scam,1,0.884615385,0.884615385,0.810023348
53,0.599468946,Privacy exposure. I advice every Facebook user to delete the app and deactivate their account. I just found out that so many people private messages and pictures are being monitored by the administration. I saw my naked videos and pictures in a database since I started looking into it. A word for the wise is quite sufficient,1,0.886792453,0.886792453,0.811471822
54,0.599322677,"Im only giving Facebook one star and only to write this review. This is a Public service announcement and a review about Facebook the company better known as Facebook has flagged my email and has disabled my account for no reason at all. Example I went two whole weeks without using Facebook messenger or any associated app or website, I was dormant in using the app and as soon as I logged in I was logged back out automatically and notified I violated their community guidelines. Once I was put on notice I had the option to file a request for a  review of my account where I was then asked to upload a picture of my photo ID, so I managed to regain access to delete that account and created a new account under a different email and two days later was automatically signed out of my account  yet again and was notified that I was using multiple accounts and had to confirm the account I had deleted or permanently loose the account I had just made. I would not recommend this social platform for anybody because they track you using GEO location on your phone, monitor your microphone, and camera, and watch you 24/7  they require your physical address, phone number, and email, they require you to upload a photo ID or birth certificate. Meta previously known as Facebook is in association with 3rd party corporations in China where they take all data collected on you and sell it to big businesses and profit off your rights to use their services. They monitor each like, comment, and message made through Facebook app or messenger. It is not safe and idk why its even legal to use in the United States. As far as Im concerned Facebook is a CIA platform and is only free to the public to monitor and track each person online. They even monitor you when you arent using their app. As long as you have the app downloaded on your device regardless online or offline they still watch and monitor you, they track your microphone and your camera so Id be advised and delete the app, go to something else like MySpace, or something.",1,0.888888889,0.888888889,0.812905471
55,0.598143518,Facebook is trash. Facebook lies Facebook sells your data Facebook manipulates people by show them false information that fits there agenda but when you actually give out real facts and real studys they ban you for false information or dangerous individuals all facebook does is brainwash the masses and take away our rights. Facebook thinks they are so powerful they can do whatever they want like take away your first amendment rights of freedom of speech because it doesnt fit the narrative Facebook doesnt let you participate in the second amendment you try to show anything related to the second amendment and your banned for violence. Facebook is a evil communist controlled ap used  to takeaway our rights alone with Instagram and Twitter none of them allow the truth to be told all of them want world control,1,0.890909091,0.890909091,0.814323719
56,0.597879767,Bias party and concerning privacy breaches. Avoid facebook. Its only value was the marketplace and the ability to save game data. The measures they take to collect your information is concerning.,1,0.892857143,0.892857143,0.815726101
57,0.597616374,Mike. Facebook has its good points but many more bad points.  The community standards are double standards and seldom do justice to the  community .  Their nudity policy is prudish is more conservative than needed yet they allow perverts to steal photos of children to be used as the thrives see fit without recourse. Their fact checking is biased at best and spreads as much fear and lies as possible. Hopefully soon we could have a platform for friends and family that gets it. May Facebook soon go the way of my space.,0,0.877192982,0,0.801415117
58,0.596525908,"SS#, Birth Certificate and ID Required. I have heard if you try to change your name on FB that they need pictures of that I didnt believe it. Well my friend needed some money and I was going to send her $20 and FB told me that in order for me to send the money they needed my SS#, a picture of my birth certificate and my ID. I didnt know that a social platform needed access to these things? I, of course denied it. People have said that FB will lock you out of your account if you do not provide these things. But I think for a social platform they are asking too much. Its just suppose to be a way for us to keep connected. Not something that they need our information like that.",1,0.879310345,0.879310345,0.802758138
59,0.595129669,"Adapt or Die. Facebook needs a new business model, since the one it helped invent is now known as cyber-stalking. It&#39;s great that they helped the world realize this is a boundary, but they have yet to adapt to said realization. They intentionally do not allow you to update the photos they have access to from the app. If you cannot select which photos you want to share with them, you may be more inclined to share all of your photos out of convenience. Given their business is based on nonconsensual data harvesting, it&#39;s not a surprise to me.",1,0.881355932,0.881355932,0.804090304
60,0.594591379,"Trojan horse. Facebook will become a trillion dollar company because of ALL the information they have on each and everyone of you. Be careful, if its free, you Are the product",1,0.883333333,0.883333333,0.805411021
